sr. no.,heading,synopsis,link,section
80,Fight for top talent gets fast & furious in auto space as traditional firms look to hire CXOs to drive EV plans,"Amidst a transformative phase, auto companies, both traditional and EV-focused, are competing for senior-level executives. Nearly two-thirds of recent talent moves are within the industry, with EV firms drawing a significant share, reflecting the sector's dynamic evolution and demand for innovative leadership.",https://economictimes.indiatimes.com/news/politics//jobs/c-suite/fight-for-top-talent-gets-fast-furious-in-auto-space-as-traditional-firms-look-to-hire-cxos-to-drive-ev-plans/articleshow/105365150.cms,jobs
81,"Servotech Power Systems bags order for 2,649 EV chargers from Bharat Petroleum","According to the statement, the company will be responsible for manufacturing, supplying and installing 2,649 AC EV Chargers strategically across the nation, equipping petrol pumps in major Indian cities under the BPCL E-drive Project, playing a key role in the widespread implementation of EV charging solutions.",https://economictimes.indiatimes.com/news/politics//industry/renewables/servotech-power-systems-bags-order-for-2649-ev-chargers-from-bharat-petroleum/articleshow/105419552.cms,industry
82,"Happy Thanksgiving 2023: Check messages, quotes, Instagram captions, celebrations and traditions ahead of festival","On November 23, families all over the United States will be celebrating their annual 'Thanksgiving' festival. The day is considered a national holiday and the  next day is the 'Black Friday.'",https://economictimes.indiatimes.com/news/politics//news/international/us/happy-thanksgiving-2023-check-messages-quotes-instagram-captions-celebrations-and-traditions-ahead-of-festival/articleshow/105422215.cms,news
83,Who will perform in cricket World Cup final ceremony? Check out the full list here,"As cricket giants India and Australia prepare for a historic clash, the stage is not only set for a thrilling cricketing spectacle but a star-studded extravaganza that promises to transcend the boundaries of a conventional sports event. Check out this enchanting lineup of aerobatics, music, and performances that will mark this cricketing showdown as an event for the ages.",https://economictimes.indiatimes.com/news/politics//news/new-updates/who-will-perform-in-cricket-world-cup-final-check-out-the-full-list-here/articleshow/105306177.cms,news
84,North Korea says spy satellite launch successful,"Images in state media showed North Korean leader Kim Jong Un smiling and waving, surrounded by white-uniformed scientists and engineers who cheered and clapped after watching the successful blastoff.",https://economictimes.indiatimes.com/news/politics//news/defence/north-korea-says-spy-satellite-launch-successful/articleshow/105410296.cms,news
85,"Train ticket refund rules: Cancellation charges, rules of IRCTC e-tickets",Indian Railway Catering and Tourism Corporation (IRCTC) operates the ticketing services of Indian Railways. Hence if an individual has bought e-tickets of any train and wants to cancel them due to any unforeseen circumstances then the only way it can be done is through the IRCTC website or IRCTC rail connect application.,https://economictimes.indiatimes.com/news/politics//wealth/save/train-ticket-refund-rules-cancellation-charges-rules-of-irctc-e-tickets/articleshow/105310710.cms,wealth
86,India vs. Australia Men's Cricket World Cup 2023: What if it rains? What if the match ends in a tie?,"In the 2019 Men's Cricket World Cup, a similar scenario unfolded in the final between New Zealand and England at Lord's, UK. Both teams scored 241 runs, leading to a super over to break the deadlock. The Super Over, too, ended in a tie, but England clinched victory based on the boundary count-back rule, securing their first Cricket World Cup title.",https://economictimes.indiatimes.com/news/politics//news/sports/india-vs-australia-mens-cricket-world-cup-2023-what-if-it-rains-what-if-the-match-ends-in-a-tie/articleshow/105306358.cms,news
87,What the world cup says about tourism,"Tourism provides 4.6% of India's GDP, much of which comes from domestic travellers. The sector is predicted to grow at an average of 7.8% annually over the next decade, to reach the figure of about ₹33.8 trillion. For a country its size, the types of cultural, historical, culinary, scenic experiences it has on tap, India's growing soft power is still woefully soft.",https://economictimes.indiatimes.com/news/politics//opinion/et-editorial/what-the-world-cup-says-about-tourism/articleshow/105364476.cms,opinion
88,RBI's now tackling systemic instability,"The timing of the RBI move also suggests it is now sanguine about consumption recovery and industrial credit revival. Its monetary tightening cycle has been particularly sensitive to sacrificing growth, and the squeeze on consumer credit is being applied when its impact is unlikely to be felt acutely.",https://economictimes.indiatimes.com/news/politics//opinion/et-editorial/rbis-now-tackling-systemic-instability/articleshow/105364477.cms,opinion
89,Home loan interest rates comparison: Public vs private sector bank; which is offering better home loan rate?,"In India, should we obtain a loan from a public or private sector bank? Does borrowing from a private bank have a different interest rate than borrowing from a public sector bank?",https://economictimes.indiatimes.com/news/politics//wealth/borrow/home-loan-interest-rates-comparison-public-vs-private-sector-bank-which-is-offering-better-home-rate/articleshow/105255275.cms,wealth
90,How to invest in cryptocurrency,"From facing an existential crisis in 2018 to more than 328 million Indian crypto enthusiasts by 2023, cryptocurrencies are on the rise in India. In this article, you'll learn how to join the crypto wave. Learn the step-by-step process to start investing in cryptocurrencies for the long term. Explore which cryptocurrencies to invest in and how much to put in. Don't miss out on this exciting financial journey – become a crypto investor today!",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/how-to-invest-in-cryptocurrency/articleshow/104842643.cms,markets
91,What are OPEC and OPEC+ and how do they affect your oil bills?,"OPEC was founded in 1960 in Baghdad by Iraq, Iran, Kuwait, Saudi Arabia and Venezuela with an aim of coordinating petroleum policies and securing fair and stable prices. Now, it includes 13 countries, which are mainly from Middle East and Africa. They produce around 30% of the world's oil.",https://economictimes.indiatimes.com/news/politics//news/how-to/what-are-opec-and-opec-how-it-affect-your-oil-bills/articleshow/105357895.cms,news
92,SBI's unsecured lending to see moderation after RBI's tightening: Chairman,"""Whatever we were doing, we will continue to do, but there will be a moderation,"" Dinesh Kumar Khara told reporters on the sidelines of a FIBAC event here, when asked about the RBI's tightening of norms. After asking lenders to be cautious, the RBI increased risk weights on unsecured lending for banks as well as non-banks earlier this month.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/banking/sbis-unsecured-lending-to-see-moderation-after-rbis-tightening-chairman/articleshow/105420674.cms,industry
93,"Limited role in pursuing threat actors, says IT ministry on iPhone state-sponsored attack","On Tuesday, several users, including several political leaders from different opposition parties shared on X (formerly Twitter) screenshots of a notification from Apple which said that they could have been likely victims of a state-sponsored attack on their smartphones.",https://economictimes.indiatimes.com/news/politics//tech/technology/limited-role-in-pursuing-threat-actors-says-it-ministry-on-iphone-state-sponsored-attack/articleshow/104850829.cms,tech
94,"Companies & retailers start discounts, redo retail stores, hire 20% higher temporary gig workforce for Black Friday","Black Friday, a term for the Friday after Thanksgiving, marks the onset of the Christmas and holiday shopping season, and falls on November 24.",https://economictimes.indiatimes.com/news/politics//industry/services/retail/companies-retailers-start-discounts-redo-retail-stores-hire-20-higher-temporary-gig-workforce-for-black-friday/articleshow/105417924.cms,industry
95,"World Cup India vs New Zealand semi-final: Super Over, more extra time and reserve day - 3 new rules explained","World Cup 2023 : India faces New Zealand in the World Cup 2023 semi-final at Mumbai's Wankhede Stadium today, while South Africa clashes with Australia in Kolkata on Thursday. The ICC has modified rules for the semi-finals and finals, including a reserve day and extended extra time in case of disruptions, unlike the group matches. In the event of a tie in the semi-final, a Super Over will determine the finalist, with unlimited Super Overs played until a winner emerges. If the Super Over could not be played due to disruptions even on the reserve day, then the group stage points will determine who goes to the finals.",https://economictimes.indiatimes.com/news/politics//news/india/world-cup-2023-two-new-match-rules-for-india-vs-new-zealand-south-africa-vs-australia-semi-finals/articleshow/105140157.cms,news
97,Uber to launch bus service for office-goers in Kolkata,"Uber will invest $10 million in the state by 2025, and create about 50,000 livelihood opportunities over the next five years, it added. For the bus service, Uber signed an agreement with the state Transport Department at the Bengal Global Business Summit.",https://economictimes.indiatimes.com/news/politics//news/india/uber-to-launch-bus-service-for-office-goers-in-kolkata/articleshow/105421922.cms,news
98,"Dancing With The Stars: Harry Jowsey and Rylee Arnold confirm romance with KISS, eliminated","Harry Jowsey and Rylee Arnold declared romance with KISS during Dancing With The Stars routine to Taylor Swift song, but it's not enough to rescue them from elimination. Later, the couple competed in a dance relay for extra points performing the Jive to Taylor Swift's smash Shake It Off.",https://economictimes.indiatimes.com/news/politics//news/international/us/dancing-with-the-stars-harry-jowsey-and-rylee-arnold-confirm-romance-with-kiss-eliminated/articleshow/105423019.cms,news
99,RBI Governor Shaktikanta Das asks NBFC-MFIs to be judicious in using flexibility on interest rates,"It can be noted that following the crisis in the microfinance segment in Andhra Pradesh that had also led to the creation of the NBFC-MFI segment, the Reserve Bank of India (RBI) had capped the maximum interest which lenders can charge at 24 per cent. The rate regime was deregulated it in 2021, making it possible for entities to charge as much as they want.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/banking/rbi-governor-shaktikanta-das-asks-nbfc-mfis-to-be-judicious-in-using-flexibility-on-interest-rates/articleshow/105418809.cms,industry
100,Patchy Maharashtra rains may hit your kitchen budget,"According to the India Meteorological Department (IMD), while overall rain in Maharashtra during the monsoon was normal, it was deficient in many regions such Marathwada, Madhya Maharashtra and North Maharashtra. Rain in the rabi season from October 1 to November 15 has also been in the ""large deficit"" category.",https://economictimes.indiatimes.com/news/politics//news/economy/agriculture/patchy-maharashtra-rains-may-hit-your-kitchen-budget/articleshow/105398770.cms,news
101,Wint Wealth bags NBFC licence after RBI clears Ambium acquisition,The NBFC has already started wholesale lending operations under the brand name Wint Capital. The primary focus of Wint Capital will be lending to growth-stage NBFCs for onward lending in their business lines.,https://economictimes.indiatimes.com/news/politics//tech/technology/wint-wealth-bags-nbfc-licence-after-rbi-clears-ambium-acquisition/articleshow/105410740.cms,tech
103,"INS Sumedha arrives in Mozambique, joint EEZ surveillance to be held","Indian Naval Ship Sumedha, deployed in Africa, docks in Maputo for joint Exclusive Economic Zone surveillance with Mozambique Navy from November 23 to 25. Aimed at reinforcing ties, the visit includes professional exchanges, planning conferences, and courtesy calls to bolster maritime cooperation. Both nations share warm bilateral relations, fostering defense collaboration through regular meetings. INS Sumedha, equipped for diverse missions, supports international cooperation in crisis relief and surveillance.",https://economictimes.indiatimes.com/news/politics//news/defence/ins-sumedha-arrives-in-mozambique-joint-eez-surveillance-to-be-held/articleshow/105411287.cms,news
104,Headline inflation remains vulnerable to recurring and overlapping shocks: RBI Guv,"Reserve Bank of India (RBI) Governor Shaktikanta Das, speaking at FIBAC 2023, highlighted the vulnerability of headline inflation to both domestic and international factors. While household price rise expectations are stabilizing, headline inflation remains susceptible to recurring shocks. Das acknowledged the success of RBI's Monetary Policy Committee (MPC) actions in softening headline inflation and noted the moderation in core inflation.",https://economictimes.indiatimes.com/news/politics//news/economy/indicators/headline-inflation-remains-vulnerable-to-recurring-and-overlapping-shocks-rbi-guv/articleshow/105405492.cms,news
105,'Odd scheduling': India series puts dampener on Australia celebrations,"Australia's World Cup winners have been denied a full-scale heroes' welcome home by a packed cricket schedule that sees them face India on Thursday at the start of a Twenty20 series, four days after meeting in the one-day final. ""It's probably pretty odd scheduling now that you look at it, to win a World Cup and a few days later you're playing again.""",https://economictimes.indiatimes.com/news/politics//news/sports/odd-scheduling-india-series-puts-dampener-on-australia-celebrations/articleshow/105408116.cms,news
107,ETtech Exclusive | Adobe acquires Lightspeed-backed Indian generative AI startup Rephrase.ai,"This also marks the first-ever deal for Adobe in the generative AI and video-tooling space. It also makes Rephrase the first Indian startup to be acquired by Adobe, which has largely made acquisitions in its home market, the US, and in Europe.",https://economictimes.indiatimes.com/news/politics//tech/startups/ettech-exclusive-in-a-first-adobe-acquires-indian-generative-ai-startup-rephrase-ai/articleshow/105411574.cms,tech
108,ETtech Explainer: ChatGPT extends voice feature to free users; here’s how to use it,"The company collaborated with professional voice actors to create each voice and used Whisper, its open-source speech recognition system, to transcribe spoken words into text.",https://economictimes.indiatimes.com/news/politics//tech/technology/ettech-explainer-chatgpt-extends-voice-feature-to-free-users-heres-how-to-use-it/articleshow/105415604.cms,tech
109,"'I am back. I am hungry, Ami KKR': Gautam Gambhir after rejoining KKR","Gautam Gambhir penned down an emotional note after he ended his stint with Lucknow Super Giants ahead of the Indian Premier League 2024 season. He is set to rejoin Kolkata Knight Riders (KKR), the team he led to IPL glory in 2012.",https://economictimes.indiatimes.com/news/politics//news/sports/i-am-back-i-am-hungry-ami-kkr-gautam-gambhir-after-rejoining-kkr/articleshow/105408916.cms,news
110,Professional services companies go slow on hiring as attrition level drops,"Industry officials, however, said the impact of the cut down in hiring is mostly at the senior management and director levels, while companies continue to hire at the top, or the partners level. ""Hiring of partners or people who bring in business is pretty aggressive. It is the middle that is suffering, also due to a fall in exits,"" said a partner.",https://economictimes.indiatimes.com/news/politics//jobs/hr-policies-trends/professional-services-companies-go-slow-on-hiring-as-attrition-level-drops/articleshow/105395521.cms,jobs
112,DGCA slaps Rs 10 lakh penalty on Air India,"Aviation watchdog DGCA has imposed a penalty of Rs 10 lakh on Air India for its failure to comply with norms pertaining to facilities that are required to be provided to passengers. After carrying out inspections of airlines at Delhi, Kochi and Bangalore airports, the regulator observed that Air India was not complying with the provisions of the relevant Civil Aviation Requirement (CAR).",https://economictimes.indiatimes.com/news/politics//industry/transportation/airlines-/-aviation/dgca-slaps-rs-10-lakh-penalty-on-air-india/articleshow/105414362.cms,industry
114,NEET-UG syllabus shortened to align it with new board curriculum,"""It is notified to all the stakeholders especially to the aspiring candidates that the Undergraduate Medical Education Board, an autonomous body under National Medical Commission has finalised the NEET (UG)-2024 syllabus,"" the NTA said in an official notification.",https://economictimes.indiatimes.com/news/politics//news/india/neet-ug-syllabus-shortened-to-align-it-with-new-board-curriculum/articleshow/105423286.cms,news
116,Want to make most of F&O frenzy in commodity market? Make informed decisions with GapUp,"The Sebi-registered Bagaria offers his services via Telegram channel based on the subscription model. GapUp does not only act as a marketplace for analysts offering advisory services but also webinars, courses and interactive sessions that help rookie traders get answers to simple and important trading concepts. The GapUp offerings, thus, help strengthen the learning foundation of commodity traders in real-time market dynamics.",https://economictimes.indiatimes.com/news/politics//markets/options/want-to-make-most-of-fo-frenzy-in-commodity-market-make-informed-decisions-with-gapup/articleshow/105375231.cms,markets
117,Nodwin Gaming’s Singapore unit buys marketing firm Publishme for $2 million,"Nodwin Gaming's Singapore unit has acquired game marketing agency Publishme for $2 million. Previously owned by Nazara Technologies, Publishme works with publishers and brands in the gaming industry. Following the acquisition, Publishme will be renamed Nodwin Gaming in West Asia and its founder, Ozgur Ozalp, will become the chief executive of Nodwin Gaming Dubai.",https://economictimes.indiatimes.com/news/politics//tech/startups/nodwin-gamings-singapore-unit-buys-marketing-firm-publishme-for-2-million/articleshow/104183404.cms,tech
118,"Crypto Price Today: Bitcoin holds near $37,000; Polygon, Avalanche surge up to 7%","Bitcoin's dominance is currently 51.20%, according to CoinMarketCap. BTC volume in the last 24 hours rose 0.6% to $13.04 billion.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-13-november-2023/articleshow/105181337.cms,markets
120,Binance’s token gains after report of US seeking settlement,"The US Justice Department is seeking more than $4 billion from Binance Holdings Ltd. as part of a proposed resolution of a years-long investigation, Bloomberg News reported. Negotiations between the Justice Department and Binance include the possibility that its founder Changpeng Zhao would face criminal charges in the US under an agreement to resolve the probe into alleged money laundering, bank fraud and sanctions violations, according to people familiar with the discussions.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/binances-token-gains-after-report-of-us-seeking-settlement/articleshow/105372282.cms,markets
121,"Telangana Polls: Asaduddin Owaisi slams Congress candidate Mohammad Azharuddin as ""unsuccessful politician""","AIMIM leader Asaduddin Owaisi criticised Congress candidate Mohammad Azharuddin as an ""unsuccessful politician"" and expressed confidence in BRS's victory in Telangana's upcoming polls. Owaisi cited Azharuddin's track record in previous elections and accused him of neglecting his constituencies. He dismissed the possibility of a hung assembly and predicted Chief Minister K Chandrasekhar Rao's return to power.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/telangana-assembly-elections/telangana-polls-asaduddin-owaisi-slams-congress-candidate-mohammad-azharuddin-as-unsuccessful-politician/articleshow/105418658.cms,news
122,Indian Navy's newest guided missile destroyer Imphal hits 'bulls eye',"INS Imphal, the third in the Visakhapatnam-class stealth-guided missile destroyers, signifies 'Aatmanibharta' and showcases India's naval prowess. Designed by the Warship Design Bureau and built by Mazagon Dock Shipbuilders, Imphal stands as a testament to indigenous shipbuilding and technological advancement. The destroyer, equipped with cutting-edge weapons and sensors, reflects a significant achievement for the Indian Navy.",https://economictimes.indiatimes.com/news/politics//news/defence/indian-navys-newest-guided-missile-destroyer-imphal-hits-bulls-eye/articleshow/105406761.cms,news
125,Bharti Airtel begins IPO process of subsidiary Bharti Hexacom: Report,"The report said Bharti Hexacom's valuation is likely to be pegged at Rs 20,000 crore and the listing process will likely be completed by early 2024.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/bharti-airtel-begins-ipo-process-of-subsidiary-bharti-hexacom-report/articleshow/105414762.cms,markets
126,Crypto Price Today: Major cryptocurrencies trade mix; Bitcoin gains 2% amid dollar weakness,"Bitcoins's gains over the past seven days have been to the tune of 0.80% while for Solana Dogecoin and Cardano, the uptick has been nearly 4%, 2%, and 5% respectively. The laggards on a seven-day basis include XRP (-4.6%), Ethereum (-1.83%), and Tron (-5%).",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-20-november-2023/articleshow/105347690.cms,markets
128,"Productivity-linked bonus announced for employees of Indian Army: Eligibility, bonus calculation and more","The Ministry of Defence mentioned in an order the eligibility, calculation of bonus, and other rules for the productivity-linked bonus. The entitlement has been worked out on the basis of the working results for the year 2022-2023 in accordance with the agreed formula, the ministry said. Read here to find out",https://economictimes.indiatimes.com/news/politics//wealth/save/productivity-linked-bonus-announced-for-employees-of-indian-army-eligibility-bonus-calculation-and-more/articleshow/105389688.cms,wealth
129,Father of India's 'green revolution' MS Swaminathan passes away at 98,"MS Swaminathan, known as the father of India's green revolution, has passed away at the age of 98. Swaminathan played a key role in developing a hybrid wheat seed that significantly increased yields and reduced India's reliance on food imports. He served in various positions related to agriculture research and education and was recognized as one of the most influential Asians of the 20th century.",https://economictimes.indiatimes.com/news/politics//news/india/father-of-indias-green-revolution-ms-swaminathan-passes-away-at-98/articleshow/104010261.cms,news
130,"Nifty Bank underperforms, retests 200-DMA. Key levels to watch out for on Thursday","The index closed 239 points lower at 43,449. It fell to an intraday low of 43,230 and reported an intraday high of 43,692. The Nifty50 index rose 28 points to close at 19,811",https://economictimes.indiatimes.com/news/politics//markets/options/nifty-bank-underperforms-retests-200-dma-key-levels-to-watch-out-on-thursday/articleshow/105417566.cms,markets
131,"Diwali bank holiday list: banks are closed in these states today, November 14","Bali Pratipad, also known as Bali Padyami, Diwali Padva, Virapratipada, or Dyutapratipada, is the fourth day of Diwali and is observed across the country.",https://economictimes.indiatimes.com/news/politics//wealth/save/diwali-bank-holiday-list-banks-are-closed-in-these-states-today-november-14/articleshow/105198647.cms,wealth
132,Guardrails make for Yippee IPOs,"A shorter listing timeline has also discouraged NBFCs from the IPO carry trade. These changes are all for the good after a cocktail of low interest rates, uncapped leverage, and a pipeline of fancily valued IPOs made it an easy pitch for dumping stocks immediately after listing.",https://economictimes.indiatimes.com/news/politics//opinion/et-editorial/guardrails-make-for-yippee-ipos/articleshow/105394867.cms,opinion
133,Government suspends DGCA official Anil Gill with immediate effect,"According to a notification issued by the ministry, Gill has been suspended under Section 10 of central civil services rules under which the appointing authority may place a government official under suspension in cases where a disciplinary proceeding against the person is contemplated or is pending.",https://economictimes.indiatimes.com/news/politics//industry/transportation/airlines-/-aviation/government-suspends-dgca-official-anil-gill-with-immediate-effect/articleshow/105422221.cms,industry
134,Rohit Sharma unlikely to play T20Is in near future,"It will be impossible to play three formats and IPL each year and with seven Test to be played between December 2023 to March 2024, the Indian skipper's focus will be mostly on red-ball cricket. He still has a realistic chance of leading India to another World Test Championship (WTC) final in 2025 and his own form in traditional format has been superb since he started opening for India in 2019.",https://economictimes.indiatimes.com/news/politics//news/sports/rohit-sharma-unlikely-to-play-t20is-in-near-future/articleshow/105421724.cms,news
135,Rahul Gandhi is 'panauti' for Congress: Anil Vij,"Haryana's Home Minister Anil Vij criticised Rahul Gandhi for labeling Prime Minister Narendra Modi as ""Panauti Modi."" Vij accused the Congress leader of being a ""panauti"" for his party and suggested Gandhi's remarks reflected deep frustration. The BJP leader defended Modi's presence at the India-Australia Cricket World Cup final, stating that sportsmanship should prevail in acknowledging victory or defeat.",https://economictimes.indiatimes.com/news/politics//news/politics-and-nation/rahul-gandhi-is-panauti-for-congress-anil-vij/articleshow/105417402.cms,news
136,Immigration to Canada declines for third straight month in August,"Canada experienced a decline in immigration for the third consecutive month, with 34,925 new permanent residents in August, a 14.1% decrease from July. However, the cumulative data for the first eight months of the year shows Canada is still on track to achieve a record-breaking number of new permanent residents by the end of the year.",https://economictimes.indiatimes.com/news/politics//news/international/canada/immigration-to-canada-declines-for-third-straight-month-in-august/articleshow/104581356.cms,news
137,Punjab reports 512 more farm fires,"Haryana's Fatehabad reported an air quality index (AQI) of 368, followed by 358 in Faridabad, 342 in Gurugram, 337 in Jind, 330 in Rohtak and 291 in Bhiwani. In Punjab, Bathinda reported AQI at 327, followed by 318 in Mandi Gobindgarh, 278 in Ludhiana, 260 in Khanna, 242 in Patiala, 231 in Jalandhar and 230 in Amritsar.",https://economictimes.indiatimes.com/news/politics//news/india/punjab-reports-512-more-farm-fires/articleshow/105423177.cms,news
138,Who is Emmett Shear? The new interim CEO of OpenAI post Sam Altman's ouster,"​​The company named Emmett Shear, cofounder and former CEO of Twitch, as the new interim CEO, pushing aside Mira Murati, a longtime OpenAI executive who was named interim CEO after Altman's ouster.",https://economictimes.indiatimes.com/news/politics//tech/technology/who-is-emmett-shear-the-new-interim-ceo-at-openai-post-sam-altmans-ouster/articleshow/105348100.cms,tech
139,Indians form third largest illegal immigrant population in US,"Almost every region in the world had a notable increase in the number of unauthorised immigrants in the US from 2007 to 2021, with the largest increase from Central America (240,000) and South and East Asia (180,000).",https://economictimes.indiatimes.com/news/politics//nri/latest-updates/indians-form-third-largest-illegal-immigrant-population-in-us/articleshow/105411020.cms,nri
140,Faceless scrutiny assessment under GST may take some time: GSTN official,"The introduction of faceless scrutiny assessment for Goods and Services Tax (GST) returns may be delayed, according to a senior official. This system involves no direct interaction or physical document submission between tax officers and assesses. Initially introduced by the Income Tax department, it was later extended to Customs.",https://economictimes.indiatimes.com/news/politics//news/economy/policy/faceless-scrutiny-assessment-under-gst-may-take-some-time-gstn-official/articleshow/105415120.cms,news
141,"Gold price today of 22 Karat, 18 Karat, 14 karat from India Bullion and Jewellers Association","If you are planning to buy gold jewellery this Dhanteras and Diwali, then it is important to know gold prices of 22 Karat, 18 Karat and 14 Karat gold. This is because one can buy gold jewellery of these Karats only. 24 Karat is considered too soft to make the jewellery. Given below are current price of gold of 22 Karat, 18 Karat and 14 Karat from IBJA.",https://economictimes.indiatimes.com/news/politics//wealth/spend/gold-price-today-of-22-karat-18-karat-14-karat-from-india-bullion-and-jewellers-association/articleshow/105084266.cms,wealth
142,USFDA pulls up Cipla for manufacturing lapses at Pithampur plant,"A warning letter is issued when the US health regulator finds that a manufacturer has significantly violated its regulations. ""Your firm failed to thoroughly investigate any unexplained discrepancy or failure of a batch or any of its components to meet any of its specifications, whether or not the batch has already been distributed,"" the USFDA stated in the letter.",https://economictimes.indiatimes.com/news/politics//industry/healthcare/biotech/pharmaceuticals/usfda-pulls-up-cipla-for-manufacturing-lapses-at-pithampur-plant/articleshow/105422470.cms,industry
143,"3 linked to Pak-based terror module arrested in Punjab, police claim targeted killing plan averted","The Punjab Police claimed to have foiled planned targeted killings in the state by arresting three individuals linked to an ISI-controlled Pakistan-based terror module. The arrested individuals were found in possession of pistols, magazines, and live cartridges.",https://economictimes.indiatimes.com/news/politics//news/defence/3-linked-to-pak-based-terror-module-arrested-in-punjab-police-claim-targeted-killing-plan-averted/articleshow/105415501.cms,news
144,View: When Xi went all xmiley face,"There was no joint statement, and no progress reported on the most sensitive areas, including Taiwan. Old talking points were reused. Biden said the US reaffirms the 'one-China' policy, and Xi said to stop arming Taiwan. Biden did not relax economic or technology restrictions as China wanted, and the fundamentals of competition did not change.",https://economictimes.indiatimes.com/news/politics//opinion/et-commentary/view-when-xi-went-all-xmiley-face/articleshow/105394607.cms,opinion
145,Ahead of Market: 10 things that will decide D-Street action on Thursday,"Rupak De, LKP Securities said, ""Nifty traded sideways for most of the session except for the last hour, during which it recovered from the day's low. The overall sentiment remains positive as the index has held above the crucial support level of 19,500. Resistance is positioned at 19,850 on the higher end; a breakthrough could potentially propel the Nifty towards the 20,200 mark.""",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/ahead-of-market-10-things-that-will-decide-d-street-action-on-thursday/articleshow/105423330.cms,markets
147,Joe Biden 'extraordinarily gratified' over Gaza hostage deal,"US President Joe Biden said Tuesday he was deeply relieved that some hostages taken when Hamas militants stormed into Israel on October 7 will soon go free under a deal brokered with help from across the Middle East. Under the Qatar-brokered deal, Hamas will release 50 women and children kidnapped during their October 7 raids, in which Israel says 1,200 people were killed, most of them civilians.",https://economictimes.indiatimes.com/news/politics//news/international/world-news/joe-biden-extraordinarily-gratified-over-gaza-hostage-deal/articleshow/105404481.cms,news
149,"Scientists discover mummy with abnormally large brain, suffered from THIS rare medical condition",A group of scientists recently discovered a 2300 year old mummy of a 14 years old boy who was suffering from a rare disease of abnormally large brains. The boy was named Minirdis and was a part of the priest family who worshiped the God Min. The discovery has baffled the scientists as they continue the study of the old mummy.,https://economictimes.indiatimes.com/news/politics//news/international/us/scientists-discover-mummy-with-abnormally-large-brain-suffered-from-this-rare-medical-condition/articleshow/105421774.cms,news
150,Operation Ajay: First flight under carrying 212 Indians lands at Delhi airport,"The first charter flight from Israel to India, organized under 'Operation Ajay', departed with 211 adults and an infant on board. These passengers were chosen on a ""first come first serve"" basis after registering at the Indian embassy. The flight was arranged as Air India had suspended its operations due to the conflict in the region. The Indian government is covering the cost of their return.",https://economictimes.indiatimes.com/news/politics//news/india/first-flight-under-operation-ajay-carrying-212-indians-takes-off-from-israel/articleshow/104384610.cms,news
151,"A sobering fact: In per capita income terms, India doesn’t lead even in South Asia","India can afford more freebies than the others without creating a crisis. Yet, it is sobering that India's people remain poorer than others in South Asia, even as the country claims to be a rising superpower.",https://economictimes.indiatimes.com/news/politics//opinion/et-commentary/a-sobering-fact-in-per-capita-income-terms-india-doesnt-lead-even-in-south-asia/articleshow/105394567.cms,opinion
153,"Days before polls, EC issues 2 notices to Rajasthan Congress over advertisements","The poll panel has asked state Congress chief Govind Singh Dotasra to respond to the notices by 3 pm on Thursday and 7 pm on Friday, respectively. Both the notices were issued following complaints filed by the BJP.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/rajasthan-assembly-elections/ec-notice-to-rajasthan-congress-over-political-ads-in-newspapers-camouflaged-as-news-reports/articleshow/105422693.cms,news
155,Oyo to report maiden net profit of Rs 16 crore in ongoing quarter,"In an email to the company’s top management, Agarwal said Oyo has published its annual accounts for FY23 and that it has achieved operational profitability in FY23, clocking an adjusted Ebitda of Rs 277 crore.",https://economictimes.indiatimes.com/news/politics//tech/startups/oyo-to-report-maiden-net-profit-of-rs-16-crore-in-ongoing-quarter/articleshow/103953562.cms,tech
156,Demand for spirits slows on increased taxes and high base,"The Indian spirits industry experienced a slowdown in demand to 2.2% in the quarter ended September, reversing a 7-15% growth trend over the past two years. The industry's growth was impacted by lower sales of mass-priced products, increased taxes, and a high base. Whisky remained the largest segment, accounting for two-thirds of overall spirits demand, growing 3.2% on a high base between July and September.",https://economictimes.indiatimes.com/news/politics//industry/cons-products/liquor/demand-for-spirits-slows-on-increased-taxes-and-high-base/articleshow/105413985.cms,industry
157,BlackRock files for spot ethereum ETF to further crypto push,"The iShares Ethereum Trust, which was registered last week and will be listed on Nasdaq if approved, will give investors access to ether - the second most popular cryptocurrency - without directly owning it.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/blackrock-files-for-spot-ethereum-etf-to-further-crypto-push/articleshow/105277779.cms,markets
